epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,6424.87,0.58637,0.95127,0.61312,0.96299,0.80147,0.05483,0.1798,0.15249,0.80147,0.05483,0.1798,0.17135,0.67074,1.14424,0.72321,1.08182,0.0007096,0.0007096,0.0007096
46,6596.65,0.54844,0.89586,0.5513,0.95778,0.96027,0.08573,0.23391,0.20178,0.96027,0.08573,0.23193,0.21683,0.73441,1.08418,0.7727,1.13082,0.000703,0.000703,0.000703
47,6766.54,0.57509,0.89602,0.60795,0.99681,0.71015,0.0914,0.2288,0.19018,0.71015,0.0914,0.2288,0.20087,0.80038,1.14705,0.84432,1.19193,0.0006964,0.0006964,0.0006964
48,6946.65,0.57745,0.97531,0.57272,0.98214,0.70865,0.08384,0.20299,0.16854,0.70865,0.08384,0.20299,0.17475,0.71155,1.36653,0.75589,1.10796,0.0006898,0.0006898,0.0006898
49,7137.44,0.52107,0.8251,0.5452,0.94711,0.78726,0.10966,0.21653,0.18648,0.78726,0.10966,0.21653,0.18733,0.73515,1.58254,0.74134,1.10297,0.0006832,0.0006832,0.0006832
50,7298.44,0.57357,0.91824,0.61803,0.99399,0.77255,0.1353,0.18297,0.16272,0.82933,0.1353,0.18492,0.16819,0.73305,1.29495,0.8362,1.14373,0.0006766,0.0006766,0.0006766
51,7489.99,0.60224,0.88887,0.59564,0.99855,0.91915,0.08271,0.1302,0.10645,0.91915,0.08271,0.1302,0.1149,0.67278,1.12402,0.67986,1.12002,0.00067,0.00067,0.00067
52,7687.72,0.58039,0.8467,0.55728,0.98045,0.96508,0.06594,0.13441,0.11631,0.96508,0.06594,0.13441,0.12581,0.66231,1.15374,0.6649,1.10722,0.0006634,0.0006634,0.0006634
53,7883.8,0.55479,0.85995,0.53798,0.95632,0.95921,0.1021,0.1546,0.13266,0.95921,0.1021,0.1546,0.1384,0.6542,1.18322,0.63861,1.09914,0.0006568,0.0006568,0.0006568
54,8069.42,0.56453,0.87805,0.52718,0.98744,0.77423,0.12017,0.17346,0.15016,0.77423,0.12017,0.17346,0.15421,0.70683,1.26714,0.65369,1.11483,0.0006502,0.0006502,0.0006502
